route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
189,27692,5348225,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42776,A012,30063515,A-230
26,27692,5348226,MAKAHA TOWERS,0,309932,401429,MAKAHA TOWERS,46062,4092,30062645,40-506
189,27692,5348227,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42970,A012,30082820,A-235
26,27692,5348230,MAKAHA TOWERS VIA AIRPORT,0,309938,401468,MAKAHA TOWERS VIA AIRPORT,46129,4097,30062610,40-512
13,27692,5348231,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41335,1411,30066859,14-113
189,27692,5348233,AHUA LAGOON DRIVE SKYLINE STATION,0,310732,A0314,LAGOON DR STN,42928,A012,30063528,A-234
26,27692,5348234,MAKAHA TOWERS,0,309934,401429,MAKAHA TOWERS,46083,4092,30062646,40-508
189,27692,5348235,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42796,A012,30082821,A-230
13,27692,5348239,ST LOUIS HTS VIA KAPAHULU,0,309699,140114,ST LOUIS KAPAHUL,41375,1411,30066860,14-114
26,27692,5348240,MAKAHA TOWERS,0,310124,401207,MAKAHA TOWERS,46818,4092,30062580,52-553
26,27692,5348242,MAKAHA TOWERS,0,309934,401429,MAKAHA TOWERS,46085,4092,30062648,40-508
189,27692,5348243,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42974,A012,30082824,A-235
26,27692,5348244,MAKAHA TOWERS,0,309926,401429,MAKAHA TOWERS,46004,4092,30062628,40-500
13,27692,5348247,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41339,1411,30066861,14-113
189,27692,5348249,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42835,A012,30063544,A-231
26,27692,5348250,MAKAHA TOWERS,0,309927,401429,MAKAHA TOWERS,46014,4092,30062651,40-501
26,27692,5348252,MAKAHA TOWERS,0,309929,401429,MAKAHA TOWERS,46032,4092,30062649,40-503
189,27692,5348257,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42800,A012,30063563,A-230
26,27692,5348260,MAKAHA TOWERS,0,309928,401429,MAKAHA TOWERS,46025,4092,30062653,40-502
26,27692,5348264,MAKAHA TOWERS,0,309927,401427,MAKAHA TOWERS,46010,4092,30062594,40-501
26,27692,5348268,MAKAHA TOWERS,0,309936,401429,MAKAHA TOWERS,46104,4092,30062654,40-510
28,27692,5348269,EWA BEACH via Arizona Memorial,0,310798,420580,EWA B VIA AZ MEM,48612,4205,30063190,E-675
189,27692,5348271,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42905,A012,30063456,A-233
26,27692,5348275,MAKAHA TOWERS,0,309936,401207,MAKAHA TOWERS,46100,4092,30062581,40-510
26,27692,5348276,MAKAHA TOWERS,0,309933,401429,MAKAHA TOWERS,46075,4092,30062657,40-507
28,27692,5348277,EWA BEACH via Arizona Memorial,0,310788,420623,EWA B VIA AZ MEM,48514,4205,30063194,E-665
25,27692,5348281,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41472,3202,30064164,32-120
26,27692,5348283,MAKAHA TOWERS,0,310246,401429,MAKAHA TOWERS,47060,4092,30062589,60-574
26,27692,5348284,MAKAHA TOWERS,0,309930,401429,MAKAHA TOWERS,46041,4092,30062659,40-504
28,27692,5348285,EWA BEACH via Arizona Memorial,0,310792,420620,EWA B VIA AZ MEM,48555,4205,30063198,E-669
